participant,condition,run,trial,onset_first_choice,onset_second_choice,onset_feedback,duration_first_choice,duration_second_choice,duration_trial
31,abstract,2,94,728.4509999999991,732.9750000000003,736.7559999999994,0.522000000000844,0.7799999999988358,9.806000000000497
31,abstract,2,95,744.8199999999997,749.4679999999989,753.0720000000001,0.6460000000006403,0.603000000000975,9.753000000000613
31,abstract,2,96,760.7150000000001,765.2690000000003,768.7919999999996,0.5519999999996799,0.521999999999025,9.57799999999952
31,abstract,2,97,775.9629999999997,780.5630000000001,784.2999999999993,0.5990000000001601,0.7359999999989668,9.837999999999738
31,abstract,2,98,792.119999999999,796.6839999999993,800.6939999999995,0.5619999999998981,1.0079999999998108,10.075000000000726
31,abstract,2,99,807.6880000000001,812.2299999999997,815.8799999999992,0.5399999999990541,0.6499999999996362,9.692999999999303
31,abstract,3,100,0.018000000000029104,4.792999999999665,8.61699999999837,0.771999999999025,0.8230000000003201,10.099999999998543
31,abstract,3,101,16.08299999999872,20.617999999998574,24.225999999998752,0.533000000001266,0.6069999999999709,9.644000000000233
31,abstract,3,102,31.460999999999327,36.02099999999882,39.70799999999872,0.5579999999990832,0.6859999999996944,9.747999999999593
31,abstract,3,103,47.355999999999774,51.944999999999716,55.5049999999992,0.5869999999995343,0.558999999999287,9.649999999999636
31,abstract,3,104,62.90699999999924,67.55199999999968,71.06299999999828,0.6430000000000291,0.5090000000000146,9.656999999999245
31,abstract,3,105,77.35699999999997,81.86599999999999,85.65299999999844,0.5069999999996071,0.7860000000000582,9.79699999999866
31,abstract,3,106,93.51599999999962,98.02700000000004,101.76299999999901,0.5090000000000146,0.7349999999987631,9.748999999999798
31,abstract,3,107,110.11699999999836,114.73299999999836,118.36799999999857,0.614000000001397,0.6340000000000146,9.752000000000407
